feature_set,strategy,scenario,repetition,outer_seed,fold,category,training_count,test_count,q1,q2,minimum_required,adequate,kmeans_seed
strict6,Training-fold AFP quantiles,Quantile,1,10,5,Large,150,18.0,128.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,5,Small,150,11.0,128.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,5,Medium,149,21.0,128.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,5,Large,150,18.0,128.33333333333331,314.33333333333314,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,5,Small,418,,,,30,False,792574438.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,5,Medium,30,,,,30,False,792574438.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,5,Large,1,,,,30,False,792574438.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,5,Small,405,,,,30,False,1967540024.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,5,Large,2,,,,30,False,1967540024.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,5,Medium,42,,,,30,False,1967540024.0
strict6,Training-fold AFP quantiles,Quantile,1,10,6,Small,151,18.0,132.0,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,6,Medium,148,16.0,132.0,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,6,Large,150,16.0,132.0,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,6,Small,151,18.0,132.0,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,6,Medium,148,16.0,132.0,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,6,Large,150,16.0,132.0,321.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,6,Small,422,,,,30,False,3845433115.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,6,Large,1,,,,30,False,3845433115.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,6,Medium,26,,,,30,False,3845433115.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,6,Large,2,,,,30,False,389328077.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,6,Small,398,,,,30,False,389328077.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,6,Medium,49,,,,30,False,389328077.0
strict6,Training-fold AFP quantiles,Quantile,1,10,7,Small,152,12.0,129.0,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,7,Medium,147,18.0,129.0,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,7,Large,150,20.0,129.0,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,7,Small,152,12.0,129.0,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,7,Medium,147,18.0,129.0,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,7,Large,150,20.0,129.0,308.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,7,Small,421,,,,30,False,609200573.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,7,Large,1,,,,30,False,609200573.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,7,Medium,27,,,,30,False,609200573.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,7,Small,403,,,,30,False,3298699909.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,7,Large,2,,,,30,False,3298699909.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,7,Medium,44,,,,30,False,3298699909.0
strict6,Training-fold AFP quantiles,Quantile,1,10,8,Small,152,22.0,134.0,322.9999999999999,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,8,Medium,147,13.0,134.0,322.9999999999999,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,8,Large,150,15.0,134.0,322.9999999999999,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,8,Small,152,22.0,134.0,322.9999999999999,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,8,Medium,147,13.0,134.0,322.9999999999999,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,8,Large,150,15.0,134.0,322.9999999999999,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,8,Small,420,,,,30,False,2518813757.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,8,Large,1,,,,30,False,2518813757.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,8,Medium,28,,,,30,False,2518813757.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,8,Small,404,,,,30,False,187080926.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,8,Large,2,,,,30,False,187080926.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,8,Medium,43,,,,30,False,187080926.0
strict6,Training-fold AFP quantiles,Quantile,1,10,9,Small,150,11.0,128.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,9,Medium,149,18.0,128.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,9,Large,150,21.0,128.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,9,Small,150,11.0,128.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,9,Medium,149,18.0,128.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,9,Large,150,21.0,128.33333333333331,307.33333333333326,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,9,Small,418,,,,30,False,4158372040.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,9,Large,1,,,,30,False,4158372040.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,9,Medium,30,,,,30,False,4158372040.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,9,Small,404,,,,30,False,1521325349.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,9,Large,2,,,,30,False,1521325349.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,9,Medium,43,,,,30,False,1521325349.0
strict6,Training-fold AFP quantiles,Quantile,1,10,10,Small,150,20.0,133.66666666666666,330.3333333333333,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,10,Medium,150,21.0,133.66666666666666,330.3333333333333,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,10,Large,150,8.0,133.66666666666666,330.3333333333333,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,10,Small,150,20.0,133.66666666666666,330.3333333333333,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,10,Medium,150,21.0,133.66666666666666,330.3333333333333,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,10,Large,150,8.0,133.66666666666666,330.3333333333333,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,10,Small,418,,,,30,False,805505106.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,10,Large,1,,,,30,False,805505106.0
strict6,AFP K-Means,Adequacy diagnostic only,1,10,10,Medium,31,,,,30,False,805505106.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,10,Medium,48,,,,30,False,3071644188.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,10,Small,400,,,,30,False,3071644188.0
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,10,Large,2,,,,30,False,3071644188.0
strict6,Training-fold AFP quantiles,Quantile,2,21,1,Small,152,22.0,134.0,326.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,1,Medium,147,16.0,134.0,326.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,1,Large,150,12.0,134.0,326.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,1,Small,152,22.0,134.0,326.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,1,Medium,147,16.0,134.0,326.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,1,Large,150,12.0,134.0,326.33333333333326,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,1,Small,418,,,,30,False,4016984532.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,1,Medium,30,,,,30,False,4016984532.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,1,Large,1,,,,30,False,4016984532.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,1,Large,2,,,,30,False,4234684902.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,1,Small,402,,,,30,False,4234684902.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,1,Medium,45,,,,30,False,4234684902.0
strict6,Training-fold AFP quantiles,Quantile,2,21,2,Small,150,20.0,133.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,2,Medium,149,14.0,133.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,2,Large,150,16.0,133.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,2,Small,150,20.0,133.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,2,Medium,149,14.0,133.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,2,Large,150,16.0,133.33333333333331,321.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,2,Small,410,,,,30,False,1791529326.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,2,Large,1,,,,30,False,1791529326.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,2,Medium,38,,,,30,False,1791529326.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,2,Small,401,,,,30,False,3549541499.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,2,Large,2,,,,30,False,3549541499.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,2,Medium,46,,,,30,False,3549541499.0
strict6,Training-fold AFP quantiles,Quantile,2,21,3,Small,150,19.0,132.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,3,Medium,149,15.0,132.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,3,Large,150,16.0,132.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,3,Small,150,19.0,132.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,3,Medium,149,15.0,132.33333333333331,321.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,3,Large,150,16.0,132.33333333333331,321.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,3,Small,390,,,,30,False,2121875013.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,3,Large,11,,,,30,False,2121875013.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,3,Medium,48,,,,30,False,2121875013.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,3,Small,404,,,,30,False,1072899584.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,3,Medium,44,,,,30,False,1072899584.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,3,Large,1,,,,30,False,1072899584.0
strict6,Training-fold AFP quantiles,Quantile,2,21,4,Small,150,16.0,131.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,4,Medium,149,16.0,131.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,4,Large,150,18.0,131.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,4,Small,150,16.0,131.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,4,Medium,149,16.0,131.33333333333331,314.33333333333314,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,4,Large,150,18.0,131.33333333333331,314.33333333333314,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,4,Small,409,,,,30,False,821646800.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,4,Medium,39,,,,30,False,821646800.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,4,Large,1,,,,30,False,821646800.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,4,Medium,45,,,,30,False,3528512142.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,4,Small,402,,,,30,False,3528512142.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,4,Large,2,,,,30,False,3528512142.0
strict6,Training-fold AFP quantiles,Quantile,2,21,5,Small,152,22.0,134.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,5,Medium,147,13.0,134.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,5,Large,150,15.0,134.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,5,Small,152,22.0,134.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,5,Medium,147,13.0,134.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,5,Large,150,15.0,134.0,322.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,5,Small,416,,,,30,False,3051404060.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,5,Large,1,,,,30,False,3051404060.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,5,Medium,32,,,,30,False,3051404060.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,5,Small,398,,,,30,False,1995217294.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,5,Medium,49,,,,30,False,1995217294.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,5,Large,2,,,,30,False,1995217294.0
strict6,Training-fold AFP quantiles,Quantile,2,21,6,Small,152,12.0,129.0,324.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,6,Medium,147,25.0,129.0,324.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,6,Large,150,13.0,129.0,324.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,6,Small,152,12.0,129.0,324.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,6,Medium,147,25.0,129.0,324.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,6,Large,150,13.0,129.0,324.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,6,Small,408,,,,30,False,278876782.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,6,Large,1,,,,30,False,278876782.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,6,Medium,40,,,,30,False,278876782.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,6,Small,399,,,,30,False,3157717019.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,6,Large,2,,,,30,False,3157717019.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,6,Medium,48,,,,30,False,3157717019.0
strict6,Training-fold AFP quantiles,Quantile,2,21,7,Small,150,20.0,133.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,7,Medium,149,10.0,133.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,7,Large,150,20.0,133.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,7,Small,150,20.0,133.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,7,Medium,149,10.0,133.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,7,Large,150,20.0,133.33333333333331,308.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,7,Small,420,,,,30,False,1242321265.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,7,Large,1,,,,30,False,1242321265.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,7,Medium,28,,,,30,False,1242321265.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,7,Small,405,,,,30,False,1741651413.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,7,Large,2,,,,30,False,1741651413.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,7,Medium,42,,,,30,False,1741651413.0
strict6,Training-fold AFP quantiles,Quantile,2,21,8,Small,150,14.0,129.33333333333331,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,8,Medium,149,21.0,129.33333333333331,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,8,Large,150,15.0,129.33333333333331,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,8,Small,150,14.0,129.33333333333331,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,8,Medium,149,21.0,129.33333333333331,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,8,Large,150,15.0,129.33333333333331,322.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,8,Small,421,,,,30,False,119473261.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,8,Large,1,,,,30,False,119473261.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,8,Medium,27,,,,30,False,119473261.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,8,Small,404,,,,30,False,3777354753.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,8,Medium,43,,,,30,False,3777354753.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,8,Large,2,,,,30,False,3777354753.0
strict6,Training-fold AFP quantiles,Quantile,2,21,9,Small,150,14.0,129.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,9,Medium,149,15.0,129.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,9,Large,150,21.0,129.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,9,Small,150,14.0,129.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,9,Medium,149,15.0,129.33333333333331,307.33333333333326,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,9,Large,150,21.0,129.33333333333331,307.33333333333326,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,9,Small,419,,,,30,False,3505946729.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,9,Large,1,,,,30,False,3505946729.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,9,Medium,29,,,,30,False,3505946729.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,9,Small,403,,,,30,False,572708942.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,9,Large,2,,,,30,False,572708942.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,9,Medium,44,,,,30,False,572708942.0
strict6,Training-fold AFP quantiles,Quantile,2,21,10,Small,150,8.0,127.66666666666666,303.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,10,Medium,150,17.0,127.66666666666666,303.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,2,21,10,Large,150,24.0,127.66666666666666,303.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,10,Small,150,8.0,127.66666666666666,303.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,10,Medium,150,17.0,127.66666666666666,303.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,2,21,10,Large,150,24.0,127.66666666666666,303.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,2,21,10,Small,407,,,,30,False,2680338483.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,10,Large,1,,,,30,False,2680338483.0
strict6,AFP K-Means,Adequacy diagnostic only,2,21,10,Medium,42,,,,30,False,2680338483.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,10,Small,402,,,,30,False,2526044515.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,10,Medium,47,,,,30,False,2526044515.0
strict6,Multivariate K-Means,Adequacy diagnostic only,2,21,10,Large,1,,,,30,False,2526044515.0
strict6,Training-fold AFP quantiles,Quantile,3,42,1,Small,150,14.0,129.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,3,42,1,Medium,149,16.0,129.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,3,42,1,Large,150,20.0,129.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,3,42,1,Small,150,14.0,129.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,3,42,1,Medium,149,16.0,129.33333333333331,308.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,3,42,1,Large,150,20.0,129.33333333333331,308.66666666666663,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,3,42,1,Small,419,,,,30,False,4039576609.0
strict6,AFP K-Means,Adequacy diagnostic only,3,42,1,Medium,29,,,,30,False,4039576609.0
strict6,AFP K-Means,Adequacy diagnostic only,3,42,1,Large,1,,,,30,False,4039576609.0
strict6,Multivariate K-Means,Adequacy diagnostic only,3,42,1,Medium,44,,,,30,False,1462785883.0
strict6,Multivariate K-Means,Adequacy diagnostic only,3,42,1,Small,403,,,,30,False,1462785883.0
strict6,Multivariate K-Means,Adequacy diagnostic only,3,42,1,Large,2,,,,30,False,1462785883.0
strict6,Training-fold AFP quantiles,Quantile,3,42,2,Small,152,17.0,132.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,3,42,2,Medium,147,18.0,132.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile,3,42,2,Large,150,15.0,132.0,322.66666666666663,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,3,42,2,Small,152,17.0,132.0,322.66666666666663,30,True,
