context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
benchmark|strict6|lightgbm|4|8|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 0.0, ""subsample"": 1.0}",2718.288113014431,821724442.0,2244369282,40808906.0
benchmark|strict6|stacking|4|8|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 1868053074, ""stack_cv_splits"": 5}",,,1868053074,
scale_nested_et|strict6|Global|4|9|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",2820.339248820998,3949780824.0,907737130,626185083.0
scale_nested_et|strict6|Global + MI|4|9|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",2779.7348828545437,2054767170.0,222829920,4276011708.0
scale_nested_et|strict6|Quantile|4|9|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 300}",777.8799536609421,924057382.0,205297567,2134315109.0
scale_nested_et|strict6|Quantile|4|9|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",1665.8458181156223,4217071864.0,2177684958,1677979602.0
scale_nested_et|strict6|Quantile|4|9|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",5861.738371328404,2276027978.0,2285842452,1935989099.0
scale_nested_et|strict6|Quantile + MI|4|9|Small,extra_trees,152,Input;Enquiry;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300}",818.1636383295767,2823526736.0,1460384133,1339830474.0
scale_nested_et|strict6|Quantile + MI|4|9|Medium,extra_trees,147,Input;Output;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 300}",1637.993744701441,2978780742.0,1275030835,872140432.0
scale_nested_et|strict6|Quantile + MI|4|9|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",5678.018827711002,4287359168.0,3503228049,3145819767.0
