context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Quantile + MI|1|2|Medium,extra_trees,149,AFP;Input;Output,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",1593.90893863508,3300949225,2813722617,2110911485
scale_nested_et|strict6|Quantile + MI|1|2|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",5531.71103783649,134466900,787582903,805557356
benchmark|strict6|random_forest|1|2|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",2721.13450532115,666781297,3504133979,3465973854
benchmark|strict6|xgboost|1|2|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",2771.53574846306,2290190939,3569917416,3324938670
benchmark|strict6|lightgbm|1|2|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 7, ""reg_lambda"": 1.0, ""subsample"": 0.8}",2897.88018777259,3106082209,629673298,1138114341
benchmark|strict6|stacking|1|2|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 3485386553, ""stack_cv_splits"": 5}",,,3485386553,
scale_nested_et|strict6|Global|1|3|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",2637.22829151341,45304957,857120798,3891744821
scale_nested_et|strict6|Global + MI|1|3|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",2559.01435083393,3175355050,28935069,369243724
scale_nested_et|strict6|Quantile|1|3|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",754.324799030901,283664799,3122277179,1124424910
scale_nested_et|strict6|Quantile|1|3|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",1656.93380140331,14269227,2489035687,279363642
scale_nested_et|strict6|Quantile|1|3|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5367.24848152597,3408211212,2267600285,481480750
scale_nested_et|strict6|Quantile + MI|1|3|Small,extra_trees,150,Output;Enquiry;File,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",808.513979413907,3090310875,1410249231,935928003
scale_nested_et|strict6|Quantile + MI|1|3|Medium,extra_trees,149,AFP;Output;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",1596.58965941213,4229980124,844474538,1348727609
scale_nested_et|strict6|Quantile + MI|1|3|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5424.31555952549,1733720321,1747521561,1731868046
benchmark|strict6|random_forest|1|3|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 500}",2588.87843151087,1441433787,688661914,1491238515
benchmark|strict6|xgboost|1|3|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",2717.48139143407,1380936428,2970069129,4150869021
benchmark|strict6|lightgbm|1|3|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_lambda"": 0.0, ""subsample"": 0.8}",2714.19645865162,2991627064,4085262620,4242922496
benchmark|strict6|stacking|1|3|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 808669846, ""stack_cv_splits"": 5}",,,808669846,
scale_nested_et|strict6|Global|1|4|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 300}",2779.58327064313,122370333,3504975985,2491983141
scale_nested_et|strict6|Global + MI|1|4|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",2948.61751623955,1651385200,852664821,1084736173
scale_nested_et|strict6|Quantile|1|4|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}",761.83386696451,2543504923,634161358,689331004
scale_nested_et|strict6|Quantile|1|4|Medium,extra_trees,147,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",1657.14990931144,964131249,1438619698,3174116198
scale_nested_et|strict6|Quantile|1|4|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",5722.31723709847,3764692011,2994715930,3556896968
scale_nested_et|strict6|Quantile + MI|1|4|Small,extra_trees,152,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",766.895235021093,2184720474,2673015527,2062304914
scale_nested_et|strict6|Quantile + MI|1|4|Medium,extra_trees,147,AFP;Input;Output,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 500}",1682.84052208306,1028874609,1915001742,601132077
scale_nested_et|strict6|Quantile + MI|1|4|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",5567.38037068201,3167769672,1032492318,2001107337
benchmark|strict6|random_forest|1|4|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",2703.74618674613,1203802777,945428816,2477035564
benchmark|strict6|xgboost|1|4|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",2738.39482844797,4098620538,3387797338,3621913365
benchmark|strict6|lightgbm|1|4|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 1.0}",2865.97441548483,3518722994,3124997882,2029072527
benchmark|strict6|stacking|1|4|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 1238848348, ""stack_cv_splits"": 5}",,,1238848348,
scale_nested_et|strict6|Global|1|5|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",2634.46522075796,2332236356,1826304723,1519408282
scale_nested_et|strict6|Global + MI|1|5|All,extra_trees,449,AFP;Input;File,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2725.21861040456,2914269634,3857891451,3110459340
