family,feature_set,reference,comparator,mean_mae_difference_full_precision,mean_mae_difference_ci_2_5,mean_mae_difference_ci_97_5,median_project_difference,wilcoxon_W,wilcoxon_p_raw,rank_biserial,corrected_repeated_cv_t,corrected_repeated_cv_df,corrected_repeated_cv_p_raw,corrected_standard_error,mean_test_train_ratio,positive_difference_means_comparator_has_lower_mae,wilcoxon_p_holm,corrected_repeated_cv_p_holm
scale_nested_et,strict6,Global,Global + MI,-3.83043951707358,-65.6178474498066,54.8703571731688,-45.5571160794073,58388,0.216019263765056,-0.0639198396793587,-0.0750689193898951,49,0.940465523241283,52.259747886454,0.111111606038109,True,0.648057791295168,1
scale_nested_et,strict6,Global,Quantile,-2.61821592397301,-34.081647641429,28.457830095841,22.6332245312344,61128,0.698793749094921,0.0199919839679359,-0.0796244948072972,49,0.936860220242294,33.3419100626034,0.111111606038109,True,0.795575463883995,1
scale_nested_et,strict6,Global,Quantile + MI,19.2427374449326,-44.9032355351136,81.582406617412,29.5917111584436,59650,0.397787731941998,0.043687374749499,0.326502200711331,49,0.745434958535094,59.171618558553,0.111111606038109,True,0.795575463883995,1
